Item No,Item Name,Category,Formula,Plain Formula,Quantity,Unit,Location / Block,Grade,Notes
152,"Separating Funnel 100 mL (Conical with PTFE Key)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","5","pcs","Cupboard 1 (56)","Borosilicate 3.3","Pear-shaped with interchangeable stopper."
153,"Separating Funnel 250 mL (Pear Shaped)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","With PTFE stopcock and 19/26 stopper."
154,"Separating Funnel 500 mL (Pear Shaped)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Liquid-liquid extraction funnel."
155,"Separating Funnel 1000 mL (Cylindrical)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","3","pcs","Cupboard 1 (56)","Borosilicate 3.3","High volume extraction vessel."
156,"Glass Filter Funnel 50 mm Diameter (Short Stem)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","10","pcs","Cupboard 1 (56)","Borosilicate 3.3","60 degree angle conical filtration funnel."
157,"Glass Filter Funnel 75 mm Diameter (Long Stem)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","8","pcs","Cupboard 1 (56)","Borosilicate 3.3","Long stem for rapid gravity filtration."
158,"Glass Filter Funnel 100 mm Diameter","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Borosilicate 3.3","Heavy duty large filtration funnel."
159,"Hirsch Funnel (Porcelain / Glass Sintered G3)","Glassware","Porcelain/Glass","Porcelain/Glass","4","pcs","Cupboard 1 (56)","Sintered Disc","Microscale vacuum filtration funnel."
160,"Büchner Funnel 90 mm (Porcelain)","Glassware","Porcelain","Porcelain","5","pcs","Cupboard 1 (56)","Glazed Porcelain","Standard vacuum filtration funnel."
161,"Büchner Funnel 120 mm (Porcelain)","Glassware","Porcelain","Porcelain","4","pcs","Cupboard 1 (56)","Glazed Porcelain","Large diameter vacuum filtration funnel."
162,"Büchner Vacuum Flask 250 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Heavy Wall","With side tubulation for vacuum hose."
163,"Büchner Vacuum Flask 500 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","6","pcs","Cupboard 1 (56)","Heavy Wall","Heavy wall glass flask with side hose barb."
164,"Büchner Vacuum Flask 1000 mL (Filter Flask)","Glassware","SiO₂·B₂O₃","SiO2.B2O3","4","pcs","Cupboard 1 (56)","Heavy Wall","1L thick wall vacuum filtering flask."
